"es,video",Douglas,5th Level,Engineering & Science Library - Multimedia Collection,,DL5,A,ZZ,Engineering & Science Library - Multimedia Collection,
es,Douglas,Information Services,Reserve Item,RESERVE,DLIS,A,ZZ,Special Case - QCAT did not send a call number,
JL-CIRC,Douglas,Information Services,Jordan Library Circulation,,DL6IS,A,ZZ,Jordan Library Circulation,
MA-CIRC,Douglas,Information Services,MATH CIRC DESK,,DLIS,A,ZZ,MATH CIRC DESK,
math,Douglas,Information Services,Keyser Reading Room (Math & Stats Dept.),,DLIS,A,ZZ,Math,Keyser Reading Room (Math & Stats Dept.)
sc,Douglas,Information Services,WD Jordan Special Collections - Rare books,,DL6,A,ZZ,WD Jordan Special Collections - Rare books,
"sc,bi",Douglas,Information Services,WD Jordan Special Collections - Bibles,,DL6,A,ZZ,WD Jordan Special Collections - Bibles,
"sc,bifo",Douglas,Information Services,WD Jordan Special Collections - Bibles (folios),,DL6,A,ZZ,WD Jordan Special Collections - Bibles (folios),
"sc,br",Douglas,Information Services,WD Jordan Special Collections - Broadsides,,DL6,A,ZZ,WD Jordan Special Collections - Broadsides,
"sc,bu",Douglas,Information Services,WD Jordan Special Collections - Buchan,,DL6,A,ZZ,WD Jordan Special Collections - Buchan,
"sc,bufo",Douglas,Information Services,WD Jordan Special Collections - Buchan (folios),,DL6,A,ZZ,WD Jordan Special Collections - Buchan (folios),
"sc,burf",Douglas,Information Services,WD Jordan Special Collections - Buchan (Reference),,DL6,A,ZZ,WD Jordan Special Collections - Buchan (Reference),
"sc,ch",Douglas,Information Services,WD Jordan Special Collections - Children's Books,,DL6,A,ZZ,WD Jordan Special Collections - Children's Books,
"sc,cihm",Douglas,Information Services,WD Jordan Special Collections - CIHM Microfiche,,DL6,A,ZZ,WD Jordan Special Collections - CIHM Microfiche,
"sc,ct",Douglas,Information Services,WD Jordan Special Collections - Cartwright Collection,,DL6,A,ZZ,WD Jordan Special Collections - Cartwright Collection,
"sc,da",Douglas,Information Services,WD Jordan Special Collections - Dated Books,,DL6,A,ZZ,WD Jordan Special Collections - Dated Books,
"sc,dafo",Douglas,Information Services,WD Jordan Special Collections - Dated Books (folios),,DL6,A,ZZ,WD Jordan Special Collections - Dated Books (folios),
"sc,di",Douglas,Information Services,WD Jordan Special Collections - Dickens Collection,,DL6,A,ZZ,WD Jordan Special Collections - Dickens Collection,
"sc,ff",Douglas,Information Services,WD Jordan Special Collections - Flat Folios,,DL6,A,ZZ,WD Jordan Special Collections - Flat Folios,
"sc,fflog",Douglas,Information Services,WD Jordan Special Collections - flat folios (SL Loggia),,DL6,A,ZZ,SC flat folios SL Loggia,WD Jordan Special Collections - flat folios (SL Loggia)
"sc,ffrf",Douglas,Information Services,WD Jordan Special Collections - Flat Folios (reference),,DL6,A,ZZ,WD Jordan Special Collections - Flat Folios (reference),
"sc,fo",Douglas,Folios,WD Jordan Special Collections - Folios,,DL6,A,ZZ,WD Jordan Special Collections - Folios,
"sc,folog",Douglas,Information Services,WD Jordan Special Collections - folios (SL Loggia),,DL6,A,ZZ,SC folios SL Loggia,WD Jordan Special Collections - folios (SL Loggia)
"sc,forf",Douglas,Information Services,WD Jordan Special Collections - Folios (reference),,DL6,A,ZZ,WD Jordan Special Collections - Folios (reference),
"sc,gu",Douglas,Information Services,WD Jordan Special Collections - Ralph Gustafson,,DL6,A,ZZ,WD Jordan Special Collections - Ralph Gustafson,
"sc,gufo",Douglas,Information Services,WD Jordan Special Collections - Ralph Gustafson (folios),,DL6,A,ZZ,WD Jordan Special Collections - Ralph Gustafson (folios),
"sc,log",Douglas,Information Services,WD Jordan Special Collections - SL Loggia,,DL6,A,ZZ,SC SL Loggia,WD Jordan Special Collections - SL Loggia
"sc,lp",Douglas,Information Services,WD Jordan Special Collections - Lorne Pierce,,DL6,A,ZZ,WD Jordan Special Collections - Lorne Pierce,
"sc,lpff",Douglas,Information Services,WD Jordan Special Collections - Lorne Pierce (flat folios),,DL6,A,ZZ,WD Jordan Special Collections - Lorne Pierce (flat folios),
"sc,lpfflog",Douglas,Information Services,WD Jordan Special Collections - Lorne Pierce (flat fol SLL),,DL6,A,ZZ,SC L Pierce fl folios SLL,WD Jordan Special Collections - Lorne Pierce (flat fol SLL)
"sc,lpfo",Douglas,Information Services,WD Jordan Special Collections - Lorne Pierce (folios),,DL6,A,ZZ,WD Jordan Special Collections - Lorne Pierce (folios),
"sc,lpfolog",Douglas,Information Services,WD Jordan Special Collections - Lorne Pierce (folios SLL),,DL6,A,ZZ,SC L Pierce folios SLL,WD Jordan Special Collections - Lorne Pierce (folios SLL)
"sc,lpfr",Douglas,Information Services,WD Jordan Special Collections - Lorne Pierce (folios ref),,DL6,A,ZZ,WD Jordan Special Collections - Lorne Pierce (folios ref),
"sc,lplog",Douglas,Information Services,WD Jordan Special Collections - Lorne Pierce (SLL),,DL6,A,ZZ,SC L Pierce SLL,WD Jordan Special Collections - Lorne Pierce (SLL)
"sc,lpmi",Douglas,Information Services,WD Jordan Special Collections - Lorne Pierce (minis),,DL6,A,ZZ,WD Jordan Special Collections - Lorne Pierce (minis),
"sc,lpref",Douglas,Information Services,WD Jordan Special Collections - Lorne Pierce (reference),,DL6,A,ZZ,WD Jordan Special Collections - Lorne Pierce (reference),
"sc,lpsa",Douglas,Information Services,WD Jordan Special Collections - Lorne Pierce (storage),,DL6,A,ZZ,WD Jordan Special Collections - Lorne Pierce (storage),
"sc,mc",Douglas,Information Services,WD Jordan Special Collections - McNicol,,DL6,A,ZZ,WD Jordan Special Collections - McNicol,
"sc,md",Douglas,Information Services,WD Jordan Special Collections - Macdonell,,DL6,A,ZZ,WD Jordan Special Collections - Macdonell,
"sc,mi",Douglas,Information Services,WD Jordan Special Collections - Minis,,DL6,A,ZZ,WD Jordan Special Collections - Minis,
"sc,mz",Douglas,Information Services,WD Jordan Special Collections - Mazo De la Roche,,DL6,A,ZZ,WD Jordan Special Collections - Mazo De la Roche,
"sc,pa",Douglas,Information Services,WD Jordan Special Collections - Pamphlets,,DL6,A,ZZ,WD Jordan Special Collections - Pamphlets,
"sc,pafo",Douglas,Information Services,WD Jordan Special Collections - Pamphlets (folios),,DL6,A,ZZ,WD Jordan Special Collections - Pamphlets (folios),
"sc,qcl",Douglas,Information Services,WD Jordan Special Collections - QCL,,DL6,A,ZZ,WD Jordan Special Collections - QCL,
"sc,qclf",Douglas,Information Services,WD Jordan Special Collections - QCL (folios),,DL6,A,ZZ,WD Jordan Special Collections - QCL (folios),
"sc,rc",Douglas,Information Services,WD Jordan Special Collections - Riche Covington Collection,,DL6,A,ZZ,WD Jordan Special Collections - Riche Covington Collection,
"sc,rd",Douglas,Information Services,WD Jordan Special Collections - Davies,,DL6,A,ZZ,SC Davies,WD Jordan Special Collections - Davies
"sc,rdff",Douglas,Information Services,WD Jordan Special Collections - Davies (flat folios),,DL6,A,ZZ,SC Davies flat folios,WD Jordan Special Collections - Davies (flat folios)
"sc,rdfo",Douglas,Information Services,WD Jordan Special Collections - Davies (folios),,DL6,A,ZZ,SC Davies folios,WD Jordan Special Collections - Davies (folios)
"sc,rf",Douglas,Reference,WD Jordan Special Collections - Reference,,DL6,A,ZZ,WD Jordan Special Collections - Reference,
"sc,st",Douglas,Information Services,WD Jordan Special Collections - Storage,,DL6IS,A,ZZ,WD Jordan Special Collections - Storage,
"sc,stmc",Douglas,Information Services,WD Jordan Special Collections - St Mary's Cathedral,,DL6,A,ZZ,WD Jordan Special Collections - St Mary's Cathedral,
"sc,stmcfo",Douglas,Information Services,WD Jordan Special Collections - St Mary's Cath (folios),,DL6,A,ZZ,WD Jordan Special Collections - St Mary's Cath (folios),
"sc,stmcmin",Douglas,Information Services,WD Jordan Special Collections - St Mary's Cath (minis),,DL6,A,ZZ,WD Jordan Special Collections - St Mary's Cath (minis),
"sc,sw",Douglas,Information Services,WD Jordan Special Collections - Schulich-Woolf,,DL6,A,ZZ,SC Schulich-Woolf,WD Jordan Special Collections - Schulich-Woolf
"sc,uc",Douglas,Information Services,WD Jordan Special Collections - Uncatalogued material,,DL6,A,ZZ,WD Jordan Special Collections - Uncatalogued material,
"sc,we",Douglas,Information Services,WD Jordan Special Collections - Wynne-Edwards,,DL6,A,ZZ,WD Jordan Special Collections - Wynne-Edwards,
"sc,weff",Douglas,Information Services,WD Jordan Special Collections - Wynne-Edwards (flat folio),,DL6,A,ZZ,SC Wynne-Ed flat folios,WD Jordan Special Collections - Wynne-Edwards (flat folio)
"sc,wefo",Douglas,Information Services,WD Jordan Special Collections - Wynne-Edwards (folios),,DL6,A,ZZ,WD Jordan Special Collections - Wynne-Edwards (folios),
sc,Douglas,Information Services,Reserve Item,RESERVE,DL6IS,A,ZZ,Special Case - QCAT did not send a call number,
ed,Education,3rd Floor,Education Library -- Books,,ED3,BF,ZZ,Education,Education Library -- Books,
ED-ACQ,Education,Information Services,EDUCATION ACQUISITIONS,,EDIS,A,ZZ,EDUCATION ACQUISITIONS,
ED-CIRC,Education,Information Services,Education Library Circulation,,EDIS,A,ZZ,Education Library Circulation,
ED-ED,Education,Information Services,EDUCATION ED ACQ,,EDIS,A,ZZ,EDUCATION ED ACQ,
"ed,at",Education,Teacher Resource Room,Atlases,,EDTRR,A,ZZ,Atlases,
"ed,au",Education,Teacher Resource Room,Audiobooks,,EDTRR,A,ZZ,Audiobooks,
"ed,bb",Education,Teacher Resource Room,Big Books,,EDTRR,A,ZZ,Big Books,
"ed,ca",Education,Teacher Resource Room,Cassettes,,EDTRR,A,ZZ,Cassettes,
"ed,cd",Education,Teacher Resource Room,CDs,,EDTRR,A,ZZ,CDs,
"ed,fju",Education,1st Floor,Education Library - French Children's Books - Floor 1,,ED1,A,ZZ,Education French Juvenile,Education Library - French Children's Books - Floor 1
"ed,fo",Education,Information Services,Folios,,EDIS,A,ZZ,Folios,
"ed,gf",Education,Information Services,Gold Files,,EDIS,A,ZZ,Gold Files,
"ed,j",Education,Information Services,Journals,,EDIS,A,ZZ,Journals,
"ed,ju",Education,1st Floor,Children's & Young Adult Books,,ED1,A,ZA,Children's & Young Adult Books,
"ed,k",Education,Teacher Resource Room,Kits,,EDTRR,A,ZZ,Kits,
"ed,lp",Education,Teacher Resource Room,Poster Collection,,EDTRR,A,ZZ,Poster Collection,
"ed,lr",Education,1st Floor,Education Library - Lesson Resources - Floor 1,,ED1,A,ZZ,Education Lesson Resource,Education Library - Lesson Resources - Floor 1
"ed,n",Education,Information Services,Education Noncirc,,EDIS,A,ZZ,Education Noncirc,
"ed,nt",Education,1st Floor,New Textbooks,,ED1,A,ZZ,New Textbooks,
"ed,os",Education,Teacher Resource Room,Oversize Kits,,EDTRR,A,ZZ,Oversize Kits,
"ed,pt",Education,2nd Floor,Education Theses,,ED2,A,ZZ,Education Theses,
"ed,rf",Education,2nd Floor,Education Library - Reference Collection - Floor 2,,ED2,A,ZZ,Education Library - Reference Collection - Floor 2,
"ed,rfopac",Education,1st Floor,Education Library - PLUS Computer Station,,ED1,A,ZZ,Education Library - PLUS Computer Station,
"ed,rs24",Education,Information Services,Education Library - Reserve (24 hour loan),,EDIS,A,ZZ,Education Library - Reserve (24 hour loan),
"ed,rs3d",Education,Information Services,Education Library - Reserve (3 day loan),,EDIS,A,ZZ,Education Library - Reserve (3 day loan),
